"Casa Guedes Gaia","Av. de Diogo Leite 56, 4400-111 Vila Nova de Gaia, Portugal","restaurant","geral@casaguedes.com"
"Molhe Restaurant","Esplanada de 28 de Maio, 4150-457 Porto, Portugal","restaurant","restmolhe@sapo.pt"
"San Gallo Ocean","R. Arca de Noé 1062, 4400-367 Vila Nova de Gaia, Portugal","restaurant","sangalloocean@sangallo.pt"
"Osteria 5 Fratelli - Francelos","Alameda da Republica, s/n, Francelos, 4405-674 Vila Nova de Gaia, Portugal","restaurant","geral@osteria5fratelli.pt"
"Dom Marisco Miramar","Av. Gago Coutinho 792, 4405-709 Vila Nova de Gaia, Portugal","restaurant","geral@dommarisco.pt"
"Douro Sky Lounge","Alameda de Basílio Teles 29, 4050-015 Porto, Portugal","restaurant","porto@vinccihoteles.com"
"Vinum","Caves Graham's, Rua do Agro 141, 4400-003 Porto, Portugal","restaurant","reservas@vinumatgrahams.com"
"Torreão restaurante|bar","R. das Virtudes 37, 4050-630 Porto, Portugal","restaurant","reservas@torreao.pt"
"Bello Rooftop","Cais de Gaia 380, 4400-245 Vila Nova de Gaia, Portugal","restaurant","info@therebello.com"
"NOLA KITCHEN","Praça D. Filipa de Lencastre 25, 4050-259 Porto, Portugal","restaurant","hello@nola.com.pt"
"Cozinha das Flores","Lgo de S. Domingos 62, 4050-545 Porto, Portugal","restaurant","dine@cozinhadasflores.com"
"The George Terrace Bar","Largo Miguel Bombarda 67, 4430-175 Vila Nova de Gaia, Portugal","restaurant","reservations@thehouseofsandeman.pt"
"Honest Greens Santa Catarina","R. de Santa Catarina 184, 4000-442 Porto, Portugal","restaurant","hello@honestgreens.com"
"17th Restaurant & Bar","R. do Bolhão 223, 4000-112 Porto, Portugal","restaurant","reserv@hoteldomhenrique.pt"
"Restaurante Flor de Lis By Vila Foz","Av. de Montevideu 236, 4150-379 Porto, Portugal","restaurant","vilafoz@vilafozhotel.pt"
"San Remo Restaurante","Av. da Boavista 1120, 4100-113 Porto, Portugal","restaurant","equipa@alquimiadacor.eu"
"GROTTU PORTO","Rua da Picaria 93, 4050-478 Porto, Portugal","sushi restaurant","geral@grottu.pt"
"Wish","Largo da Igreja da Foz, 105 e 107, 4150-400 Porto, Portugal","sushi restaurant","wish@chefantoniovieira.com"
"Sibuya Urban Sushi Bar","R. de Mouzinho da Silveira 173, 4050-421 Porto, Portugal","sushi restaurant","ola@gruposibuya.com"
"Izakaya Japanese Cuisine","R. do Barão de São Cosme 96, 4000-500 Porto, Portugal","sushi restaurant","geral@izakaya.pt"
"Kintsugi Porto","R. de Santo Ildefonso 220, 4000-465 Porto, Portugal","sushi restaurant","kintsugi@kintsugiporto.com"
"New Wok - Porto","Tv. da Prelada 449, 4250-380 Porto, Portugal","sushi restaurant","reservas@newwokporto.pt"
"Hoshikuzu","R. Veloso Salgado 545, 4450-801 Leça da Palmeira, Portugal","sushi restaurant","geral@hoshikuzu.com"
"Mochi Sushi","R. Bento de Jesus Caraça 115, 4445-404 Ermesinde, Portugal","sushi restaurant","geral@mochi.pt"
"Sushi em tua casa - Porto","R. Dr. Joaquim Pires de Lima 27 R/C, 4200-349 Porto, Portugal","sushi restaurant","aveiro@sushiemtuacasa.pt"
"M'arrecreo Gaia","Cais de Gaia 476, 4400-245 Vila Nova de Gaia, Portugal","pizzeria","geral@marrecreo.com"
"Luzzo Pizzaria","Av. da Boavista 831, 4100-128 Porto, Portugal","pizzeria","dalalnawaz@yahoo.co.in"
